57,"-78.49928937851838,121.44728295198661,albany,au,True,64.16,90,92,12.01,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=albany,au&units=imperial"
58,"87.76980224477623,-161.2287274058845,barrow,us,True,48.78,37,90,3.36,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=barrow,us&units=imperial"
59,"9.180969136928496,-29.496550388313864,sao filipe,cv,True,73.16,86,0,18.39,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=sao filipe,cv&units=imperial"
60,"-6.442217261704926,108.27186045139354,jatibarang,id,True,68.66,98,0,2.39,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=jatibarang,id&units=imperial"
61,"20.942466718265834,-26.45224553093007,ponta do sol,cv,True,70.64,100,0,22.64,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=ponta do sol,cv&units=imperial"
62,"-25.08813075439984,39.61718357994894,toliary,mg,False,,,,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=toliary,mg&units=imperial"
63,"-84.5628548631045,64.6805837308076,taolanaro,mg,False,,,,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=taolanaro,mg&units=imperial"
64,"0.08780871620353992,-177.58084112329982,vaitupu,wf,False,,,,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=vaitupu,wf&units=imperial"
65,"-23.882535630271377,-48.25709216307021,capao bonito,br,True,74.6,77,64,8.32,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=capao bonito,br&units=imperial"
66,"22.76654356699919,84.13885605625154,jashpurnagar,in,True,65.87,77,8,4.29,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=jashpurnagar,in&units=imperial"
67,"79.61304685908098,173.43948558089596,pevek,ru,True,1.34,90,88,0.94,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=pevek,ru&units=imperial"
68,"-20.521939833696834,64.40732697352317,grand river south east,mu,False,,,,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=grand river south east,mu&units=imperial"
69,"72.9974559523611,172.0379722573536,pevek,ru,True,1.34,90,88,0.94,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=pevek,ru&units=imperial"
70,"83.78663041860611,37.01996918020632,vardo,no,True,16.25,92,90,24.16,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=vardo,no&units=imperial"
71,"-41.27084442349054,-154.1223706794875,mataura,pf,False,,,,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=mataura,pf&units=imperial"
72,"71.7409260475765,-118.37620868582447,yellowknife,ca,True,-4.01,53,20,5.82,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=yellowknife,ca&units=imperial"
73,"-8.683677323394747,-98.1847855483352,puerto ayora,ec,True,86,62,40,14.99,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=puerto ayora,ec&units=imperial"
74,"-59.157497952103014,50.064300497290816,tsihombe,mg,False,,,,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=tsihombe,mg&units=imperial"
75,"-15.704698751583678,-179.50519923740904,halalo,wf,False,,,,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=halalo,wf&units=imperial"
76,"-27.95941180957505,55.79096318394991,saint-joseph,re,True,77.83,78,0,9.17,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=saint-joseph,re&units=imperial"
77,"3.8549353996526037,76.37186533859511,felidhoo,mv,False,,,,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=felidhoo,mv&units=imperial"
78,"35.67506155267152,86.98649692666197,korla,cn,True,36.71,68,0,2.95,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=korla,cn&units=imperial"
79,"5.7821114514898255,126.73151597314961,pundaguitan,ph,True,76.49,100,76,7.99,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=pundaguitan,ph&units=imperial"
80,"-39.11955138128873,20.218749639824324,bredasdorp,za,True,66.2,63,0,13.87,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=bredasdorp,za&units=imperial"
81,"-58.67365883593823,22.27549317832063,bredasdorp,za,True,66.2,63,0,13.87,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=bredasdorp,za&units=imperial"
82,"-86.19150087802234,-118.87594872713913,punta arenas,cl,True,53.6,46,0,18.34,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=punta arenas,cl&units=imperial"
83,"47.805368101079495,115.20458797614873,baruun-urt,mn,True,22.31,64,0,8.88,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=baruun-urt,mn&units=imperial"
84,"-48.25158862962088,-17.24415802548876,jamestown,sh,True,74.42,100,88,14.47,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=jamestown,sh&units=imperial"
85,"73.13494195428308,-42.96179290734014,ilulissat,gl,True,1.4,84,75,11.41,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=ilulissat,gl&units=imperial"
86,"72.15045037979212,145.61883942456626,chokurdakh,ru,True,-20,29,76,3.74,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=chokurdakh,ru&units=imperial"
87,"-75.15983593699309,-177.74145648211586,vaini,to,True,73.4,100,75,4.74,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=vaini,to&units=imperial"
88,"-85.02169303802994,-76.70314127281651,ushuaia,ar,True,58.19,76,75,21.92,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=ushuaia,ar&units=imperial"
89,"67.51621239182029,6.070916028068609,bud,no,True,36.82,86,0,8.05,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=bud,no&units=imperial"
90,"25.161055440986814,50.86078955177018,umm bab,qa,True,67.94,57,0,7.65,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=umm bab,qa&units=imperial"
91,"12.440219126150765,-35.901571544435,sao filipe,cv,True,73.16,86,0,18.39,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=sao filipe,cv&units=imperial"
92,"87.05830798164865,-93.7891767323237,qaanaaq,gl,True,-17.93,100,32,4.29,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=qaanaaq,gl&units=imperial"
93,"34.661110618093275,140.1872722805527,kamogawa,jp,True,53.6,58,75,14.99,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=kamogawa,jp&units=imperial"
94,"69.47813641532423,-11.893381884601837,hofn,is,True,39.2,93,20,6.93,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=hofn,is&units=imperial"
95,"-53.024144514455195,10.51601847426366,hermanus,za,True,67.58,56,0,8.21,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=hermanus,za&units=imperial"
96,"42.937230249435686,-29.295192267283994,lagoa,pt,True,57.2,62,0,20.8,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=lagoa,pt&units=imperial"
97,"-19.748255696721557,-27.109556264362908,caravelas,br,True,82.88,99,0,14.47,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=caravelas,br&units=imperial"
98,"79.04446458232306,49.51578020783154,belushya guba,ru,False,,,,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=belushya guba,ru&units=imperial"
99,"-14.522171929297713,33.17392334401012,lilongwe,mw,True,68.57,88,8,4.97,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=lilongwe,mw&units=imperial"
100,"55.302160674934385,143.1344328926515,okha,ru,True,5.57,75,0,10.56,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=okha,ru&units=imperial"
101,"25.86013686370262,-119.182002282094,guerrero negro,mx,True,76.22,38,92,4.41,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=guerrero negro,mx&units=imperial"
102,"-57.092861691685485,149.48036463037909,hobart,au,True,55.4,87,75,4.7,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=hobart,au&units=imperial"
103,"40.83706851129497,-154.23567316504045,kodiak,us,True,64.4,27,1,14.99,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=kodiak,us&units=imperial"
104,"33.52013270074349,163.19910360073817,severo-kurilsk,ru,True,23.84,100,48,9.1,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=severo-kurilsk,ru&units=imperial"
105,"41.141760381410734,33.244882024354354,safranbolu,tr,True,45.98,90,92,2.62,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=safranbolu,tr&units=imperial"
106,"-38.004407630327364,-95.61111510574077,lebu,cl,True,62.9,96,32,22.3,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=lebu,cl&units=imperial"
107,"-63.25286445266754,-57.818074360025534,ushuaia,ar,True,58.19,76,75,21.92,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=ushuaia,ar&units=imperial"
108,"2.682674341256103,19.769535187805047,gemena,cd,True,69.83,97,68,1.61,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=gemena,cd&units=imperial"
109,"41.318032547971086,97.35176561888858,yumen,cn,True,36.98,56,0,6.31,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=yumen,cn&units=imperial"
110,"16.445362183149086,-105.7396339341987,san patricio,mx,True,86,70,5,11.41,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=san patricio,mx&units=imperial"
111,"-56.006336091293356,-114.53729563722386,rikitea,pf,True,77.75,100,64,14.25,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=rikitea,pf&units=imperial"
112,"-29.911682929155354,47.773857448906625,taolanaro,mg,False,,,,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=taolanaro,mg&units=imperial"
113,"-46.01787492318291,87.93353221245155,busselton,au,True,66.14,100,36,16.6,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=busselton,au&units=imperial"
114,"39.269260767451186,15.292889836837873,belvedere marittimo,it,True,28.4,100,90,9.17,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=belvedere marittimo,it&units=imperial"
115,"-70.46700554283137,-3.2996736692607556,cape town,za,True,66.2,63,0,12.75,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=cape town,za&units=imperial"
116,"-41.68824753956383,75.24881102512708,mahebourg,mu,True,80.6,78,40,6.93,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=mahebourg,mu&units=imperial"
117,"-77.15995718547633,52.475276204233296,east london,za,True,62.6,93,40,4.7,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=east london,za&units=imperial"
118,"77.61931511280596,94.24833028800953,khatanga,ru,True,-16.04,47,44,4.52,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=khatanga,ru&units=imperial"
119,"14.923306797587173,121.13985954013066,pulo,ph,True,78.8,78,75,4.7,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=pulo,ph&units=imperial"
120,"-80.00666450208331,142.9227144214522,hobart,au,True,55.4,87,75,4.7,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=hobart,au&units=imperial"
121,"33.62386851832251,125.08403818819676,fukue,jp,True,46.4,75,20,27.51,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=fukue,jp&units=imperial"
122,"54.60420928274547,137.180842770205,chumikan,ru,True,5.57,50,0,1.72,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=chumikan,ru&units=imperial"
123,"-32.00994213493801,-44.29293067849807,laguna,br,False,,,,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=laguna,br&units=imperial"
124,"-60.31712339255406,60.81936096308243,taolanaro,mg,False,,,,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=taolanaro,mg&units=imperial"
125,"10.013456218637117,-95.46949978318985,ocos,gt,True,95,36,20,11.41,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=ocos,gt&units=imperial"
126,"-68.05847191392408,-131.94460180912694,rikitea,pf,True,77.75,100,64,14.25,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=rikitea,pf&units=imperial"
127,"21.291201545915968,-96.58326914174393,tamiahua,mx,True,75.68,95,88,7.99,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=tamiahua,mx&units=imperial"
128,"7.218535678196247,-120.57787834436161,cabo san lucas,mx,True,82.49,39,20,12.75,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=cabo san lucas,mx&units=imperial"
129,"49.989175516908034,-147.81035620845432,kodiak,us,True,64.4,27,1,14.99,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=kodiak,us&units=imperial"
130,"1.1069171570933207,14.783599289230011,sembe,cg,True,79.19,79,56,2.39,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=sembe,cg&units=imperial"
131,"42.94398547428793,174.67077699934174,nikolskoye,ru,True,32,95,75,8.95,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=nikolskoye,ru&units=imperial"
132,"27.94931578078537,-175.69731386333478,kapaa,us,True,67.93,100,90,17.22,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=kapaa,us&units=imperial"
133,"-32.05504050905568,71.28445194604487,bambous virieux,mu,True,80.6,78,40,6.93,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=bambous virieux,mu&units=imperial"
134,"1.0653187733348517,112.91335380528085,kapit,my,True,72.17,96,76,2.28,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=kapit,my&units=imperial"
135,"-11.715876025277481,-136.8788336876288,atuona,pf,True,81.89,99,76,16.71,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=atuona,pf&units=imperial"
136,"-59.41930886221334,-145.11593363179455,mataura,pf,False,,,,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=mataura,pf&units=imperial"
137,"33.00020488225712,-117.76724282478665,oceanside,us,True,64.42,88,75,5.82,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=oceanside,us&units=imperial"
138,"4.488434716068781,-68.60803302278825,inirida,co,True,73.7,99,92,1.95,http://api.openweathermap.org/data/2.5/weather?appid=a1c38353f73430aa460caee5606989b2&q=inirida,co&units=imperial"
